EC,kcat VALUE,ORGANISM,log10_kcat,UNIPROT_list,reaction_IDs,PMID,BiGG acc,BiGG ID
1.1.1.1,101,Yokenella sp.,2.0043213737826426,['W6CX26'],2,24509923.0,0.9901408450704225,ALDD3y
1.1.1.1,405,Yokenella sp.,2.6074550232146687,['W6CX26'],3,24509923.0,0.9901408450704225,ALDD3y_r
1.1.1.1,7.1,Sulfolobus acidocaldarius,0.8512583487190752,"['Q4J702', 'Q4J9F2']",11,20049620.0,0.9630434782608696,DMPPS_r
1.1.1.1,7.1,Sulfolobus acidocaldarius,0.8512583487190752,"['Q4J702', 'Q4J9F2']",11,20049620.0,0.9630434782608696,DMPPS_r
1.1.1.1,1,Saccharolobus solfataricus,0.0,['P39462'],36,19588068.0,0.9873887240356083,GLYCDx
1.1.1.1,1.1,Saccharolobus solfataricus,0.04139268515822508,['P39462'],37,19588068.0,0.9043927648578811,PACCOAE_r
1.1.1.1,13.5,Sulfolobus acidocaldarius,1.130333768495006,"['Q4J702', 'Q4J9F2']",13,20049620.0,0.9673676577229877,4MBZALDH
1.1.1.1,13.5,Sulfolobus acidocaldarius,1.130333768495006,"['Q4J702', 'Q4J9F2']",13,20049620.0,0.9673676577229877,4MBZALDH
1.1.1.1,13.7,Sulfolobus acidocaldarius,1.1367205671564067,"['Q4J702', 'Q4J9F2']",15,20049620.0,0.9630434782608696,DMPPS_r
1.1.1.1,13.7,Sulfolobus acidocaldarius,1.1367205671564067,"['Q4J702', 'Q4J9F2']",15,20049620.0,0.9630434782608696,DMPPS_r
1.1.1.1,61.4,Thermus thermophilus,1.7881683711411678,,56,18456852.0,0.9630434782608696,DMPPS_r
1.1.1.1,1.1,Thermus thermophilus,0.04139268515822508,,57,18456852.0,0.972953216374269,GLYCDx
1.1.1.1,2.6,Saccharolobus solfataricus,0.414973347970818,['P39462'],39,19588068.0,0.9043927648578811,PACCOAE_r
1.1.1.1,2.1,Sulfolobus acidocaldarius,0.3222192947339193,"['Q4J702', 'Q4J9F2']",17,20049620.0,0.9673676577229877,4MBZALDH
1.1.1.1,2.1,Sulfolobus acidocaldarius,0.3222192947339193,"['Q4J702', 'Q4J9F2']",17,20049620.0,0.9673676577229877,4MBZALDH
1.1.1.1,57,Thermus thermophilus,1.7558748556724915,,58,18456852.0,0.9673676577229877,4MBZALDH
1.1.1.1,0.41,Aeropyrum pernix,-0.38721614328026455,['Q9Y9P9'],111,16233615.0,0.9681390296886314,ALDD4
1.1.1.1,3.1,Saccharolobus solfataricus,0.4913616938342727,['P39462'],40,19588068.0,0.9681390296886314,ALDD4
1.1.1.1,17.1,Thermus thermophilus,1.2329961103921538,,64,18456852.0,0.9787234042553191,GLTPD_r
1.1.1.1,35.7,Thermococcus kodakarensis,1.5526682161121932,['Q5JI09'],177,23354700.0,0.9653429602888086,BDH
1.1.1.1,35.7,Thermococcus kodakarensis,1.5526682161121932,['Q5JI09'],178,23354700.0,0.9683413626978665,ALDD3y
1.1.1.1,0.26,Aeropyrum pernix,-0.585026652029182,['Q9Y9P9'],114,16233615.0,0.9700729927007299,ALDD4
1.1.1.1,2.5,Saccharolobus solfataricus,0.3979400086720376,['P39462'],44,19588068.0,0.9700729927007299,ALDD4
1.1.1.1,27.6,Geobacillus stearothermophilus,1.4409090820652177,['P42328'],187,26329849.0,0.9745083758193737,SSALx
1.1.1.1,308,Geobacillus stearothermophilus,2.4885507165004443,['P42328'],188,26329849.0,0.9745083758193737,GHBDHx
1.1.1.1,3.2,Sulfolobus acidocaldarius,0.505149978319906,['Q4J9F2'],134,22805786.0,0.9652677279305355,4MBZALDH_r
1.1.1.1,1.7,Sulfolobus acidocaldarius,0.2304489213782739,['Q4J9F2'],136,22805786.0,0.9744338933528123,4MBZALDH_r
1.1.1.1,10,Sulfolobus acidocaldarius,1.0,"['Q4J702', 'Q4J9F2']",21,20049620.0,0.9737034331628927,4MBZALDH_r
1.1.1.1,25.5,Thermus thermophilus,1.4065401804339552,,69,18456852.0,0.9744338933528123,4MBZALDH_r
1.1.1.1,25.5,Thermus thermophilus,1.4065401804339552,,70,18456852.0,0.9744338933528123,4MBZALDH_r
1.1.1.1,0.65,Sulfolobus acidocaldarius,-0.18708664335714442,['Q4J9F2'],137,22805786.0,0.9687726942628904,4MBZALDH_r
1.1.1.1,0.48,Aeropyrum pernix,-0.3187587626244128,['Q9Y9P9'],115,16233615.0,0.9788783685360525,DKGLCNR2x_r
1.1.1.1,0.4,Aeropyrum pernix,-0.3979400086720376,['Q9Y9P9'],116,16233615.0,0.9859154929577465,ALR4x
1.1.1.1,1.4,Sphingomonas sp. A1,0.146128035678238,['A0A075B5H4'],193,29697194.0,0.9839766933721777,DKGLCNR2x
1.1.1.1,1.6,Saccharolobus solfataricus,0.2041199826559248,['P39462'],45,19588068.0,0.9888392857142857,ALDD4
1.1.1.1,0.24,Aeropyrum pernix,-0.619788758288394,['Q9Y9P9'],123,16233615.0,0.9743589743589743,ALDD4
